ip address,dash1,dash2,timestamp,method,endpoint,protocol,status_code,bytes,referrer,user_agent
87.243.235.114,-,-,08/02/2025,POST,/products,HTTP/1.1,403,608,-,PostmanRuntime/7.26.8
80.102.237.153,-,-,04/11/2024,GET,/login,HTTP/1.1,403,4069,-,curl/7.64.1
83.198.162.196,-,-,10/01/2025,PUT,/,HTTP/2,200,3433,-,PostmanRuntime/7.26.8
85.20.81.194,-,-,05/09/2024,POST,/products,HTTP/1.1,200,4667,-,curl/7.64.1
28.210.166.203,-,-,14/03/2025,DELETE,/products,HTTP/2,200,2119,-,Mozilla/5.0
128.150.13.98,-,-,09/09/2024,PUT,/products,HTTP/1.1,403,991,-,curl/7.64.1
103.130.92.149,-,-,01/07/2024,DELETE,/about,HTTP/1.0,404,1247,-,PostmanRuntime/7.26.8
203.43.170.71,-,-,19/07/2024,POST,/login,HTTP/2,403,2453,-,curl/7.64.1
230.161.19.142,-,-,15/09/2024,DELETE,/contact,HTTP/1.1,302,884,-,Mozilla/5.0
124.128.111.248,-,-,16/11/2024,POST,/login,HTTP/1.0,403,4919,-,curl/7.64.1
31.223.241.225,-,-,09/09/2024,POST,/admin,HTTP/2,302,1643,-,Mozilla/5.0
220.163.37.197,-,-,13/10/2024,POST,/about,HTTP/2,302,4614,-,curl/7.64.1
50.52.140.58,-,-,04/07/2024,POST,/contact,HTTP/1.0,500,3272,-,Mozilla/5.0
47.207.252.210,-,-,03/07/2024,DELETE,/products,HTTP/1.1,200,4689,-,Mozilla/5.0
229.168.226.226,-,-,03/06/2024,DELETE,/admin,HTTP/1.0,200,1002,-,curl/7.64.1
147.9.40.174,-,-,16/12/2024,DELETE,/login,HTTP/1.1,404,3547,-,Mozilla/5.0
200.70.221.13,-,-,10/01/2025,PUT,/contact,HTTP/1.1,500,4724,-,curl/7.64.1
110.44.148.125,-,-,12/09/2024,PUT,/about,HTTP/2,404,3920,-,curl/7.64.1
245.142.2.199,-,-,25/10/2024,POST,/admin,HTTP/1.1,500,4307,-,Mozilla/5.0
58.177.170.69,-,-,29/12/2024,PUT,/,HTTP/2,404,4400,-,PostmanRuntime/7.26.8
104.225.228.101,-,-,16/10/2024,DELETE,/about,HTTP/1.0,302,4101,-,curl/7.64.1
251.44.49.239,-,-,09/12/2024,PUT,/admin,HTTP/1.1,302,3954,-,PostmanRuntime/7.26.8
206.85.243.191,-,-,05/11/2024,DELETE,/admin,HTTP/1.1,404,1675,-,Mozilla/5.0
251.220.46.255,-,-,27/04/2024,PUT,/about,HTTP/2,403,265,-,curl/7.64.1
12.217.55.2,-,-,21/04/2024,PUT,/about,HTTP/1.0,302,3208,-,Mozilla/5.0
155.178.52.138,-,-,07/01/2025,DELETE,/about,HTTP/1.0,404,1919,-,Mozilla/5.0
43.144.61.179,-,-,17/10/2024,POST,/contact,HTTP/1.1,301,1072,-,Mozilla/5.0
201.14.100.213,-,-,10/12/2024,GET,/products,HTTP/2,200,3358,-,curl/7.64.1
254.73.53.42,-,-,15/12/2024,PUT,/about,HTTP/1.1,200,162,-,curl/7.64.1
141.144.32.96,-,-,22/02/2025,POST,/,HTTP/1.1,403,4976,-,curl/7.64.1
60.93.129.104,-,-,27/02/2025,GET,/,HTTP/1.0,403,3176,-,Mozilla/5.0
63.226.18.170,-,-,21/10/2024,DELETE,/admin,HTTP/1.1,301,4078,-,curl/7.64.1
242.252.194.58,-,-,09/05/2024,PUT,/admin,HTTP/1.0,404,4575,-,curl/7.64.1
246.193.208.146,-,-,29/09/2024,DELETE,/admin,HTTP/2,500,3165,-,curl/7.64.1
162.74.148.140,-,-,26/05/2024,POST,/admin,HTTP/1.0,200,4704,-,curl/7.64.1
225.98.147.231,-,-,20/12/2024,PUT,/login,HTTP/1.1,301,4678,-,Mozilla/5.0
212.245.49.140,-,-,18/09/2024,GET,/products,HTTP/1.1,404,3495,-,curl/7.64.1
42.110.18.128,-,-,16/02/2025,GET,/about,HTTP/1.1,404,4604,-,Mozilla/5.0
255.74.176.102,-,-,13/03/2025,DELETE,/admin,HTTP/1.0,301,2495,-,PostmanRuntime/7.26.8
16.17.88.208,-,-,19/07/2024,GET,/admin,HTTP/1.1,403,1010,-,curl/7.64.1
42.255.46.63,-,-,21/11/2024,DELETE,/products,HTTP/2,500,1159,-,Mozilla/5.0
92.45.254.233,-,-,11/05/2024,DELETE,/products,HTTP/1.1,301,2938,-,PostmanRuntime/7.26.8
169.211.69.53,-,-,06/02/2025,DELETE,/login,HTTP/1.1,404,2070,-,Mozilla/5.0
